Title,Author,Genre,Summary
Nightwood,Djuna Barnes,"Philosophy, Psychology, Romance","A dense, poetic exploration of destructive love, identity, and emotional ruin."
Lolita,Vladimir Nabokov,Psychology,A deeply disturbing yet stylistically brilliant account of obsession and manipulation narrated by an unreliable predator.
Journey to the End of the Night,Louis-Ferdinand Céline,"Psychology, Sad","A bleak, cynical journey through war, colonialism, and modern life’s moral decay."
The Night Circus,Erin Morgenstern,Romance,"Two magicians bound in a lifelong competition fall in love within a magical, dreamlike circus."
Confessions of Saint Augustine,Maria Boulding for beauty and poetry/ Thomas williams for accuracy,Philosophy,"A spiritual autobiography exploring sin, faith, and the search for divine truth."
Midnight in the Garden of Good and Evil,John Berendt,True Crime,A real-life murder case in Savannah intertwined with eccentric Southern characters.
First Love,Ivan Turgenev,"Romance, Sad",A young man experiences the bittersweet pain of first love and emotional awakening.
Down Below,Leonora Carrington,Psychology,A surreal memoir of the author’s mental breakdown and institutionalization.
Paradise Lost, John Milton,Philosophy,"An epic poem depicting the fall of Satan and humanity, grappling with free will, sin, and redemption."
The Last Days of Socrates ,"Plato
",Philosophy,"Dialogues recounting Socrates’ trial, imprisonment, and reflections on justice and death."
The Collected Schizophrenia,Esmé Weijun Wang,Psychology,Essays detailing life with schizophrenia and the complexity of mental illness.
The Divine Comedy V3: Paradise,Dante Alighieri,Philosophy,"Dante ascends through Heaven, guided by Beatrice, encountering souls in states of perfect bliss and gaining deeper understanding of divine love, justice, and the ultimate harmony of the universe."
The Divine Comedy v2: Purgatory,Dante Alighieri,Philosophy,"Souls ascend toward redemption, reflecting hope and spiritual purification."
The Divine Comedy V1: Inferno,Dante Alighieri,Philosophy," A journey through Hell, symbolizing sin, justice, and moral consequence."
The Complete Poetry of John Milton,John T. Shawcross (ed.),Philosophy,"A collection of Milton’s works exploring religion, morality, and human struggle."
Midnight Sailing ,Susan Hufford,"Romance, Sad","A quiet, emotional story centered on love, longing, and personal reflection."
The Late Mattia Pascal,Luigi Pirandello,Psychology,"A man assumes a new identity after being declared dead, questioning selfhood and freedom."
The Penguin Book of the Undead,Scott G. Bruce (ed.),Psychology,Historical accounts and writings on encounters with the undead across cultures.
The Daughters of Music,Susannah Lawrence,Romance,"A story of ambition, relationships, and emotional entanglements within artistic life."
Dance in the Dust,Denise Robins,Romance,"A dramatic love story shaped by passion, hardship, and societal expectations."
The Time of Indifference,Alberto Moravia,"Psychology, Sad",A family’s emotional detachment exposes moral emptiness and societal decay.
The Intruder,Gabriele D’Annunzio,"Psychology, Romance","A story of betrayal, jealousy, and obsessive love."
Zeno’s Conscience,Italo Svevo,Psychology,"A man’s therapy sessions reveal self-deception, addiction, and existential confusion."
The Leopard,Giuseppe Tomasi di Lampedusa,"Philosophy, Sad","A Sicilian prince reflects on change, decay, and mortality during political upheaval."
Diavola,Jennifer Thorne,Psychology,"A tense, eerie narrative blending family tension with psychological unease."
The Swan Thieves,Elizabeth Kostova,"Psychology, Romance","A psychiatrist uncovers a painter’s obsession tied to art, love, and history."
The Man Who Watched the Trains Go By,Georges Simenon,Psychology,A man abandons his life and descends into crime and existential crisis.
Resurrection,Leo Tolstoy,"Philosophy, Sad",A nobleman seeks redemption after recognizing his role in a woman’s suffering.
The Essential Writings of Christian Mysticism,Bernard McGinn (ed.),Philosophy,"Key texts exploring divine experience, spirituality, and inner transformation."
The Anatomy of Melancholy,Robert Burton,"Philosophy, Psychology","A vast exploration of depression, its causes, and human emotion."
Chernobyl Prayer ,Svetlana Alexievich,"History, Sad",Oral histories revealing the human cost and trauma of the Chernobyl disaster.
How to Read a Film,James Monaco,Studies,"A guide to understanding film language, theory, and visual storytelling."
On Sun Swallowing,Dakota Warren,"Philosophy, Psychology, Sad","A poetic exploration of grief, identity, and emotional fragmentation."
The Woman Destroyed,Simone de Beauvoir,"Psychology, Sad","Stories of women confronting betrayal, aging, and emotional collapse."
The Rotting Room,Viggy Parr Hampton,"Horror, Psychology","A dark, unsettling narrative exploring decay, confinement, and mental deterioration."
Morbid Curiosities: Collections of the Uncommon and the Bizarre,Paul Gambino,"History, Studies","A richly illustrated exploration of unusual collectors and collections, featuring medical oddities, taxidermy, crime memorabilia, and historical curiosities that reveal humanity’s fascination with the macabre."
A Delusion of Satan: The Full Story of the Salem Witch Trials ,Frances Hill,"History, Psychology, True Crime","A detailed account of the Salem witch trials, exploring how fear, religious extremism, and social tensions fueled one of America’s most infamous episodes of mass hysteria."
"Demons, the Devil, and Fallen Angels ",Marie D. Jones & Larry Flaxman,"History, Psychology, Studies","An accessible survey of demonic figures and beliefs across religions, mythologies, and paranormal traditions, examining humanity’s enduring fear of evil entities."
Cassell Dictionary of Superstitions ,David Pickering,"History, Psychology, Studies","An extensive guide to superstitions from around the world, tracing their origins, meanings, and cultural significance across centuries."
"The World, the Flesh, and the Devil: A Biographical Dictionary of Witches ",Eric Maple,"History, Psychology, Studies","A reference work documenting accused witches, occult practitioners, and legendary figures associated with witchcraft throughout European history and folklore."
